,gender,attractiveness,likes,matches
207,FEMALE,0.7887903960789463,314,8
208,FEMALE,0.7557928922671923,289,11
209,FEMALE,0.9678444698674329,387,14
210,FEMALE,0.7015393092352207,252,7
211,FEMALE,0.11694606885200587,27,1
212,FEMALE,0.2951623192289399,92,1
213,FEMALE,0.31682095735619287,109,6
214,FEMALE,0.9922277597856247,393,13
215,FEMALE,0.8945015174272676,360,16
216,FEMALE,0.008906764443252002,1,0
217,FEMALE,0.7633948293917194,296,9
218,FEMALE,0.8419311257022885,329,16
219,FEMALE,0.9277061881205729,355,11
220,FEMALE,0.35231920655564275,98,5
221,FEMALE,0.7098686775496426,272,7
222,FEMALE,0.6497574451594557,251,7
223,FEMALE,0.6550120616631083,266,5
224,FEMALE,0.13206780771393833,35,0
225,FEMALE,0.48378497267036014,163,7
226,FEMALE,0.7556809576777699,283,11
227,FEMALE,0.03185870177909933,9,0
228,FEMALE,0.7427595987886909,283,6
229,FEMALE,0.5828242715151373,216,10
230,FEMALE,0.7121637073934218,252,3
231,FEMALE,0.5264352762586598,196,11
232,FEMALE,0.6416768057992519,238,5
233,FEMALE,0.039784582295916415,8,0
234,FEMALE,0.605692961057768,205,9
235,FEMALE,0.0988339979068763,35,1
236,FEMALE,0.9366849440718082,367,9
237,FEMALE,0.5412979639197575,199,5
238,FEMALE,0.8135514725093341,309,14
239,FEMALE,0.7797557393577419,299,10
240,FEMALE,0.4572546475097038,158,7
241,FEMALE,0.513603986327292,181,6
242,FEMALE,0.338278576740482,120,4
243,FEMALE,0.7792894989885223,295,8
244,FEMALE,0.33472820676429804,105,5
245,FEMALE,0.28919960410257173,97,6
246,FEMALE,0.5427353650627645,192,4
247,FEMALE,0.7143791445772951,277,9
248,FEMALE,0.384587700495695,123,2
249,FEMALE,0.4089451109323883,148,3
250,FEMALE,0.30869566587959907,110,2
251,FEMALE,0.05378695119127619,8,0
252,FEMALE,0.5698350814789533,226,14
253,FEMALE,0.6241016873691615,222,12
254,FEMALE,0.14464665212375305,39,1
255,FEMALE,0.003089565578978659,0,0
256,FEMALE,0.10476659059548088,30,0
257,FEMALE,0.04771996239021459,16,2
258,FEMALE,0.3529414131959936,124,6
259,FEMALE,0.818677042740425,309,10
260,FEMALE,0.17108680778170027,57,2
261,FEMALE,0.8595439018140782,324,10
262,FEMALE,0.561737225333874,202,8
263,FEMALE,0.20531442627865515,65,1
264,FEMALE,0.23355477677931946,76,2
265,FEMALE,0.7763868627353895,295,13
266,FEMALE,0.1729856349168697,63,1
267,FEMALE,0.6095931164582796,205,10
268,FEMALE,0.50658188839457,172,4
269,FEMALE,0.6358319104945401,225,14
270,FEMALE,0.6597979246953476,262,4
271,FEMALE,0.3514741942214239,128,8
272,FEMALE,0.6954312486394316,249,8
273,FEMALE,0.3187905069265625,89,3
274,FEMALE,0.5415761396258396,179,5
275,FEMALE,0.16836676291318553,48,2
276,FEMALE,0.879985993207261,340,8
277,FEMALE,0.11628987245510924,31,2
278,FEMALE,0.494280895416607,180,7
279,FEMALE,0.9814471337076818,388,16
280,FEMALE,0.2032950646445747,68,3
281,FEMALE,0.6284201995566752,237,6
282,FEMALE,0.910682427602935,358,11
